icd_code,icd_version,long_title
0001   ,9,Therapeutic ultrasound of vessels of head and neck
0002   ,9,Therapeutic ultrasound of heart
0003   ,9,Therapeutic ultrasound of peripheral vascular vessels
0009   ,9,Other therapeutic ultrasound
0010   ,9,Implantation of chemotherapeutic agent
0011   ,9,Infusion of drotrecogin alfa (activated)
0012   ,9,Administration of inhaled nitric oxide
0013   ,9,Injection or infusion of nesiritide
0014   ,9,Injection or infusion of oxazolidinone class of antibiotics
0015   ,9,High-dose infusion interleukin-2 [IL-2]
0016   ,9,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance
0016070,10,"Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach"
0016071,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Autologous Tissue Substitute, Open Approach"
0016072,10,"Bypass Cerebral Ventricle to Atrium with Autologous Tissue Substitute, Open Approach"
0016073,10,"Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Open Approach"
0016074,10,"Bypass Cerebral Ventricle to Pleural Cavity with Autologous Tissue Substitute, Open Approach"
0016075,10,"Bypass Cerebral Ventricle to Intestine with Autologous Tissue Substitute, Open Approach"
0016076,10,"Bypass Cerebral Ventricle to Peritoneal Cavity with Autologous Tissue Substitute, Open Approach"
0016077,10,"Bypass Cerebral Ventricle to Urinary Tract with Autologous Tissue Substitute, Open Approach"
0016078,10,"Bypass Cerebral Ventricle to Bone Marrow with Autologous Tissue Substitute, Open Approach"
001607B,10,"Bypass Cerebral Ventricle to Cerebral Cisterns with Autologous Tissue Substitute, Open Approach"
00160J0,10,"Bypass Cerebral Ventricle to Nasopharynx with Synthetic Substitute, Open Approach"
00160J1,10,"Bypass Cerebral Ventricle to Mastoid Sinus with Synthetic Substitute, Open Approach"
00160J2,10,"Bypass Cerebral Ventricle to Atrium with Synthetic Substitute, Open Approach"
00160J3,10,"Bypass Cerebral Ventricle to Blood Vessel with Synthetic Substitute, Open Approach"
00160J4,10,"Bypass Cerebral Ventricle to Pleural Cavity with Synthetic Substitute, Open Approach"
